Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Výpočet,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2018,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Adresa hodnoteného objektu,,,,Zadávaš,,,,Merná tepelná strata prechodom tepla ,,,,,,,,,,,,,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,Okres:,Bratislava II,,,Vypočíta sa,,,,Konštrukcia,,,,,Plocha Ai,Ui,Ui . Ai,Faktor bx,bx . Ui . Ai,,,,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,,,,,,,,,OO16,"plastové, izolačné 2-sklo",,,,225,1,225,1,225,1,5.4,0.0005400000000000001,,19.8,14,133,apríl,3.192,5855.121435295347,4639.748941666667,18981.648,,,,,,Spotreba podla faktury,,,Spotreba tepla na TV,,,,
,,,,,,,,,OO17,"plastové, izolačné 2-sklo",,,,36,1,36,1,36,1,8.1,0.00081,,21.166666666666668,188,3143,Celkom,,,,,,,,,,,kWh/a,,,kWh,,,
,,,,,,,,,OO18,"plastové, izolačné 2-sklo",,,,4.26,1,4.26,1,4.26,1,5.256,0.0005256000000000001,,,,,,,,,,,,,,W/m2.a,0.8,,,,,,,
,,,,,,,,,OO19,"plastové, izolačné 2-sklo",,,,2.16,1,2.16,1,2.16,1,3.7800000000000002,0.000378,,Dennostupne 2018/2019,,,,,,,,,,,,,,kWh/a,,,,,,
,,,,,,,,,OO20,"plastové, izolačné 2-sklo",,,,18,1,18,1,18,1,8.1,0.00081,,mesiac,vyk dni,tem,D,,,,,,,,,,,kwh/a,,Potreba energie na VYK,,,Potreba energie na TV,
,,,,,,,,,OO21,"plastové, izolačné 2-sklo",,,,1.89,1,1.89,1,1.89,1,4.95,0.000495,,september,6,15.6,26.400000000000002,,,,,,,,,,,,,,kWh,,,kWh
,,,,,,,,,OO22,"plastové, izolačné 2-sklo",,,,20.250000000000004,1,20.250000000000004,1,20.250000000000004,1,7.5600000000000005,0.000756,,október,30,11.9,348,,,,,,,,,,Potreba energie spolu,,,,,,,
,,,,,,,,,OO23,"plastové, izolačné 2-sklo",,,,3.9600000000000004,1,3.9600000000000004,1,3.9600000000000004,1,7.2,0.00072,,november,30,5.9,468,,,,,,,,,,,kWh,,,,,,
,,,,,,,,,OO24,"plastové, izolačné 2-sklo",,,,24.300000000000004,1,24.300000000000004,1,24.300000000000004,1,10.26,0.001026,,december,31,2.7,564.1999999999999,,,,,,,,,,,,,,,,,
,,,,,,,,,OO25,"plastové, izolačné 2-sklo",,,,16.200000000000003,1,16.200000000000003,1,16.200000000000003,1,7.5600000000000005,0.000756,,január,31,-5,722.3000000000001,,,,,,,,,,,,,,,,,
,,,,,,,,,OO26,"plastové, izolačné 2-sklo",,,,23.43,1,23.43,1,23.43,1,5.256,0.0005256000000000001,,február,28,2.7,470.40000000000003,,,,,,,,,,,,,,,,,
,,,,,,,,,OO27,"hliník, izolačné 2-sklo",,,,12.3225,1,12.3225,1,12.3225,1,8.955,0.0008955,,marec,31,9.2,437.1,,,,,,,,,,,,,,,,,
,,,,,,,,,OO28,"hliník, izolačné 2-sklo",,,,3.69,1,3.69,1,3.69,1,6.93,0.000693,,apríl,14,10.3,133,,,,,,,,,,,,,,,,,
,,,,,,,,,OO29,"plastové, izolačné 2-sklo",,,,82.8,1,82.8,1,82.8,1,10.53,0.001053,,máj,2,16.7,6.600000000000001,,,,,,,,,,,,,,,,,
,,,,,,,,,OO30,"plastové, izolačné 2-sklo",,,,7.935,1,7.935,1,7.935,1,10.35,0.0010350000000000001,,,203,7.777777777777778,3176,,,,,,,,,,,,,,,,,
,,,,,,,,,OO31,"plastové, izolačné 2-sklo",,,,82.8,1,82.8,1,82.8,1,10.53,0.001053,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO32,"plastové, izolačné 2-sklo",,,,7.935,1,7.935,1,7.935,1,10.35,0.0010350000000000001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO33,"hliník, izolačné 2-sklo",,,,9.1425,1,9.1425,1,9.1425,1,10.98,0.001098,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO34,"hliník, izolačné 2-sklo",,,,17.28,1,17.28,1,17.28,1,15.120000000000001,0.001512,,2016,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO35,"hliník, izolačné 2-sklo",,,,8.64,1,8.64,1,8.64,1,10.8,0.0010800000000000002,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO36,"plastové, izolačné 2-sklo",,,,55.8114,1,55.8114,1,55.8114,1,13.032,0.0013032,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.4,30,347.99999999999994,október,8.351999999999999,5855.121435295347,4639.748941666667,40674.96,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19.1,30,435.00000000000006,november,10.440000000000001,5855.121435295347,4639.748941666667,40674.96,,,,,,,,,,,,,
,,,,,,,,,DO1,"plastové, izolačné 2-sklo",,,,240,1,240,1,240,1,6.12,0.000612,,18.5,31,554.9,december,13.3176,5855.121435295347,4639.748941666667,42030.792,,,0.95,,,,,,,,,,
,,,,,,,,,DO2,"plastové, izolačné 2-sklo",,,,5.04,1,5.04,1,5.04,1,8.1,0.00081,,18.5,31,595.1999999999999,január,14.284799999999999,5855.121435295347,4639.748941666667,42030.792,,,0.95,,,,,,,,,,
,,,,,,,,,DO3,"plastové, izolačné 2-sklo",,,,214.20000000000005,1,214.20000000000005,1,214.20000000000005,1,5.562,0.0005562000000000001,,23.4,28,487.19999999999993,február,11.692799999999998,5855.121435295347,4639.748941666667,37963.296,,,,,,,,,,,,,
