SO1,Obvodová stena ŠD,Unnamed: 2,Unnamed: 3,465.1,Unnamed: 5,Unnamed: 6,Unnamed: 7,STR1,Plochá strecha ŠD,Unnamed: 10,Unnamed: 11,825.5,Unnamed: 13,Unnamed: 14,Unnamed: 15,PDL1,Podlaha na teréne ŽS,Unnamed: 18,Unnamed: 19,825.5.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Odpor konštrukcie pri prechode tepla ,,,R0 =,3.0288095238095236,,,,Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,Celková hrúbka konštrukcie ,,0.15,∑Rj = ,1.2918936540133295,,,,,
Súčiniteľ prechodu tepla,,,U =,0.3301627230563635,,,,Odpor konštrukcie pri prechode tepla ,,,R0 =,5.1135805860805865,,,,Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,0.439
,,,,,,,,Súčiniteľ prechodu tepla,,,U =,0.19555768862273304,,,,Odpor konštrukcie pri prechode tepla ,,,R0 =,1.5018936540133294,,,,,
SO2,Obvodová stena ŠD2,,,1217.2,,,,,,,,,,,,Súčiniteľ prechodu tepla,,,U =,0.26,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,STR2,Strecha Jedáleň,,,1104.7,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,Odpor pri prestupe tepla na vnútornej strane k-cie,,,Rsi =,0.1,,,,PDL2,Podlaha na teréne Jedáleň,,,1104.7,,,,,
Vápennocementová omietka,,0.012,0.9,0.013333333333333332,,,,Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.17,,,,,
ŽB panel,,0.15,1.58,0.09493670886075949,,,,TI minerálna vlna,,0.12,0.05,2.4,,,,Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,
Pórobetónové tvárnice,,0.3,0.35,0.8571428571428572,,,,Spiroll,,0.25,1.13,0.22123893805309736,,,,cementový poter + povrchová vrstva,,0.025,1.16,0.021551724137931036,,,,,
TI minerálna vlna,,0.08,0.04,2,,,,TI čadič,,0.12,0.08,1.5,,,,betónová mazanina,,0.063,1.02,0.061764705882352944,,,,,
,,,,,,,,vzudhcová medzera,,0.175,1.1,0.15909090909090906,,,,TI,,0.06,0.05,1.2,,,,,
Celková hrúbka konštrukcie ,,0.5419999999999999,∑Rj = ,2.96541289933695,,,,drevený panel KSDD,,0.128,0.22,0.5818181818181818,,,,HI,,0.002,0.21,0.009523809523809525,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,HI,,0.002,0.16,0.0125,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,3.13541289933695,,,,,,,,,,,,Celková hrúbka konštrukcie ,,0.15,∑Rj = ,1.2928402395440934,,,,,
Súčiniteľ prechodu tepla,,,U =,0.3189372602924072,,,,Celková hrúbka konštrukcie ,,0.49,∑Rj = ,4.874648028962189,,,,Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,
,,,,,,,,Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,Odpor konštrukcie pri prechode tepla ,,,R0 =,1.5028402395440934,,,,,
SO3,Obvodová stena - Nezateplená časť,,,307.8,,,,Odpor konštrukcie pri prechode tepla ,,,R0 =,5.014648028962188,,,,Súčiniteľ prechodu tepla,,,U =,0.22,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,Súčiniteľ prechodu tepla,,,U =,0.19941579034550028,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,,,,,,,,,,,,,,,,,
Vápennocementová omietka,,0.012,0.9,0.013333333333333332,,,,,,,,,,,,,,,,,,,,,
betón ŽB,,0.15,1.7,0.08823529411764706,,,,,,,,,,,,,,,,,,,,,
pórobetón,,0.3,0.3,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Celková hrúbka konštrukcie ,,0.46199999999999997,∑Rj = ,1.1015686274509804,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,,,,,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,1.2715686274509803,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.7864302235929067,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SO4,Obvodová stena Jedáleň,,,333,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,,,,,,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,,,,,,,,,,,,,,,,,
Vápennocementová omietka,,0.012,0.9,0.013333333333333332,,,,,,,,,,,,,,,,,,,,,
keramické panely,,0.4,0.35,1.142857142857143,,,,,,,,,,,,,,,,,,,,,
TI minerálna vlna,,0.08,0.04,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Celková hrúbka konštrukcie ,,0.49200000000000005,∑Rj = ,3.1561904761904764,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,,,,,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,3.3261904761904764,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.3006442376521117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SO5,Obvodová stena Jedáleň2,,,1912.6,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,,,,,,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,,,,,,,,,,,,,,,,,
Vápennocementová omietka,,0.0015,0.9,0.0016666666666666666,,,,,,,,,,,,,,,,,,,,,
betón ŽB,,0.15,1.7,0.08823529411764706,,,,,,,,,,,,,,,,,,,,,
TI minerálna vlna,,0.08,0.04,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Celková hrúbka konštrukcie ,,0.23149999999999998,∑Rj = ,2.0899019607843137,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,,,,,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,2.2599019607843136,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.44249707171055486,,,,,,,,,,,,,,,,,,,,,
